headline,date,doc_type,material_type,section,keywords
"Lisa Page, Ex-F.B.I. Lawyer Whose Texts Criticized Trump, Breaks Silence",2019-12-02,article,News,,['Russian Interference in 2016 US Elections and Ties to Trump Associates']
Devils Fire Coach John Hynes After Disappointing Start,2019-12-03,article,News,,"['Hockey, Ice']"
"Serving Up West Virginia History, Not All of It Sweet",2019-12-03,article,News,,"['Seeds', 'Agriculture and Farming', 'Food']"
"Trump Inflames the Trade Wars, Again",2019-12-03,article,News,,"['International Trade and World Market', 'Customs (Tariff)', 'United States International Relations', 'United States Economy', 'United States Politics and Government', 'Taxation']"
Their Soccer Club Vanished. They Kept Coming.,2019-12-03,article,News,,['Soccer']
Why So Many Hospitals Are Suing Their Patients,2019-12-02,article,News,,"['Health Insurance and Managed Care', 'Personal Bankruptcies', 'Medicine and Health', 'Medicare']"
China Cracks Down on Fentanyl. But Is It Enough to End the U.S. Epidemic?,2019-12-01,article,News,,"['Fentanyl', 'Drug Abuse and Traffic', 'Opioids and Opiates', 'Regulation and Deregulation of Industry', 'United States International Relations']"
‘It’s Going to Hurt’: A Football Playoff Without Alabama,2019-12-02,article,News,,['Football (College)']
"At ‘Black Out’ Performances, the Power of Healing Through Community",2019-12-03,article,News,,[]
"Marilyn Saviola, Disability Rights Advocate, Is Dead at 74",2019-12-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Disabilities']"
Trump Says U.S. Will Impose Metal Tariffs on Brazil and Argentina,2019-12-02,article,News,,"['International Trade and World Market', 'United States International Relations', 'Customs (Tariff)', 'Steel and Iron', 'Aluminum', 'Currency', 'United States Economy']"
"Shelley Morrison, ‘Will & Grace’ Actress, Dies at 83",2019-12-02,article,Obituary (Obit),,"['Deaths (Obituaries)', 'ACTORS AND ACTRESSES', 'Television']"
Why We Can’t Stop Watching the George and Kellyanne Conway Show,2019-12-03,article,Op-Ed,,"['Social Media', 'United States Politics and Government']"
How McKinsey Helped the Trump Administration Carry Out Its Immigration Policies,2019-12-03,article,News,,"['Illegal Immigration', 'Immigration and Emigration', 'Immigration Detention', 'Consultants', 'United States Politics and Government']"
"Chicago Police Superintendent Fired For Being ‘Intentionally Dishonest,’ Mayor Says",2019-12-02,article,News,,[]
Did ‘The Irishman’ Take a Bite Out of the Thanksgiving Box Office?,2019-12-01,article,News,,"['Movies', 'Thanksgiving Day']"
"New & Noteworthy Audiobooks, From Bob Dylan to Greta Thunberg",2019-12-03,article,News,,['Books and Literature']
Shopping for Fireplace Tools,2019-12-02,article,News,,"['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'Home Repairs and Improvements', 'Fireplaces']"
He Gave a Cryptocurrency Talk in North Korea. The U.S. Arrested Him.,2019-12-02,article,News,,"['Virtual Currency', 'Blockchain (Technology)', 'Embargoes and Sanctions', 'United States International Relations']"
How Charlottesville’s Echoes Forced New Zealand to Confront Its History,2019-12-03,article,News,,"['Monuments and Memorials (Structures)', 'Names, Geographical', 'Maori', 'Vandalism']"
"A Charming Swiss Home That Respects, and Reimagines, the Past",2019-12-02,article,News,,"['Historic Buildings and Sites', 'ARCHITECTURE', 'Interior Design and Furnishings', 'Furniture', 'ANTIQUES']"
"In Russia, an Updated Law With New Restrictions on Freedom of Speech",2019-12-02,article,News,,['Freedom of Speech and Expression']
Called to Serve Children and Looking for Her Opportunity,2019-12-01,article,News,,[]
"China Uses DNA to Map Faces, With Help From the West",2019-12-03,article,News,,"['Uighurs (Chinese Ethnic Group)', 'Muslims and Islam', 'Privacy', 'Genetics and Heredity', 'Forensic Science', 'DNA (Deoxyribonucleic Acid)', 'Face', 'Discrimination', 'Racial Profiling', 'Ethics and Official Misconduct']"
"Tariffs, NATO, Philippines: Your Tuesday Briefing",2019-12-03,article,briefing,,[]
"In the New World of Whiskeys, Australia Strives to Stand Out",2019-12-03,article,News,,"['Whiskey', 'Regulation and Deregulation of Industry']"
The 25 Best Children’s Books of 2019,2019-12-02,article,News,,['Books and Literature']
Elon Musk’s Defense: ‘Pedo Guy’ Tweet Was a Generic Insult,2019-12-03,article,News,,['Libel and Slander']
"Quotation of the Day: Amazon’s Expansive, Creeping Influence in an American City",2019-12-01,article,Quote,,[]
Impeachment Report Says Trump Solicited Foreign Election Interference,2019-12-03,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'United States International Relations', 'Impeachment', 'Ethics and Official Misconduct']"
"Malta Leader Says He Will Resign, as Murder Inquiry Widens",2019-12-02,article,News,,"['Politics and Government', 'Demonstrations, Protests and Riots', 'Assassinations and Attempted Assassinations']"
"DeVos Proposes New Agency, Run by Someone Else, for Student Loans",2019-12-03,article,News,,"['Student Loans', 'Colleges and Universities', 'Financial Aid (Education)', 'Federal Aid (US)', 'Banking and Financial Institutions', 'United States Politics and Government']"
Trump Volatility in Markets Is Back,2019-12-03,article,News,,"['Stocks and Bonds', 'International Trade and World Market', 'Customs (Tariff)', 'United States Economy', 'United States Politics and Government', 'United States International Relations']"
Winter Storm Brings Sloppy and Slippery Conditions to New England,2019-12-01,article,News,,"['Weather', 'Snow and Snowstorms', 'Rain', 'AIRLINES AND AIRPLANES', 'AIRPORTS']"
Trump’s Trade Deal Steals a Page From Democrats’ Playbook,2019-12-01,article,News,,"['North American Free Trade Agreement', 'International Trade and World Market', 'United States Politics and Government', 'Labor and Jobs', 'Organized Labor', 'Wages and Salaries', 'Automobiles']"
A Leak-Prone White House Finally Manages to Keep a Secret,2019-12-01,article,News,,['Afghanistan War (2001- )']
Joe Biden Still Wants to Win Iowa. Here’s His Strategy.,2019-12-03,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses', 'United States Politics and Government']"
Should You Warn a Friend Who’s Falling for a Romance Scam?,2019-12-03,article,News,,"['Dating and Relationships', 'Women and Girls', 'Frauds and Swindling', 'Discrimination', 'Online Dating']"
H.I.V. Is Coming to Rural America,2019-12-02,article,Op-Ed,,"['ACQUIRED IMMUNE DEFICIENCY SYNDROME', 'Drug Abuse and Traffic', 'Rural Areas', 'Drugs (Pharmaceuticals)', 'Opioids and Opiates', 'Epidemics']"
"90,000 Packages Disappear Daily in N.Y.C. Is Help on the Way?",2019-12-02,article,News,,"['Delivery Services', 'Shopping and Retail', 'E-Commerce', 'Postal Service and Post Offices', 'Robberies and Thefts']"
"Homes That Sold for Around $600,000",2019-12-01,article,News,,['Real Estate and Housing (Residential)']
Trump’s Intervention in SEALs Case Tests Pentagon’s Tolerance,2019-12-01,article,News,,"['Iraq War (2003-11)', 'War Crimes, Genocide and Crimes Against Humanity', 'Civilian Casualties', 'United States Defense and Military Forces', 'United States Politics and Government', 'internal-national collaboration']"
New Charges ‘Likely’ in Case Against Giuliani Associates,2019-12-03,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Campaign Finance']"
"10 People Wounded in New Orleans Shooting, Police Say",2019-12-01,article,News,,"['Murders, Attempted Murders and Homicides']"
