headline,date,doc_type,material_type,section,keywords
"Brexit Once Meant a Weaker British Pound, but Not Anymore",2019-12-13,article,News,,"['Great Britain Withdrawal from EU (Brexit)', 'British Pound (Currency)', 'Elections', 'Stocks and Bonds']"
Even Hermit Crabs Have Wealth Inequality,2019-12-13,article,News,,"['Crabs', 'Income Inequality', 'Books and Literature', 'Animal Behavior', 'Research', 'your-feed-science']"
Tiger Woods Leads by Example in Presidents Cup Comeback Win,2019-12-15,article,News,,"['Presidents Cup (Golf)', 'Golf']"
Clinton’s Impeachment Was Suspenseful. Trump’s Grip on G.O.P. Means His Won’t Be.,2019-12-14,article,News,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']"
"Ukraine’s Leader, Wiser to Washington, Seeks New Outreach to Trump",2019-12-13,article,News,,"['United States International Relations', 'Lobbying and Lobbyists', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Presidential Election of 2020']"
"Gamblers, Wastrels and Lumberjacks: An Old Cemetery Gives Up Its Secret History",2019-12-14,article,News,,"['Cemeteries', 'Historic Buildings and Sites', 'Railroads', 'Bridges and Tunnels']"
Revisiting André Aciman’s Eccentric Family,2019-12-13,article,News,,"['Books and Literature', 'Writing and Writers']"
Variety: Puns and Anagrams,2019-12-14,article,News,,[]
‘Jumanji: The Next Level’ Unseats ‘Frozen 2’ at the Box Office,2019-12-15,article,News,,['Movies']
‘Bombshell’ Raises a Question: What’s Megyn Kelly Up to Anyway?,2019-12-13,article,News,,"['News and News Media', 'Television', 'Movies']"
U.S. Secretly Expelled Chinese Officials Suspected of Spying After Breach of Military Base,2019-12-15,article,News,,"['United States International Relations', 'Defense and Military Forces', 'Espionage and Intelligence Services', 'Military Bases and Installations', 'Diplomatic Service, Embassies and Consulates']"
How Labour’s Working-Class Vote Crumbled and Its Nemesis Won the North,2019-12-13,article,News,,"['Elections', 'Politics and Government', 'Voting and Voters', 'Mines and Mining', 'Great Britain Withdrawal from EU (Brexit)', 'Legislatures and Parliaments', 'Labor and Jobs', 'Immigration and Emigration']"
Labour’s Crushing Loss in Britain Adds to ‘Too Far Left?’ Debate in U.S.,2019-12-13,article,News,,"['Great Britain Withdrawal from EU (Brexit)', 'Presidential Election of 2020', 'United States Politics and Government']"
11 of Our Best Weekend Reads,2019-12-13,article,News,,['Methane']
"Corrections: Dec. 15, 2019",2019-12-15,article,Correction,,[]
Forging Connections in a New Land,2019-12-15,article,News,,[]
Review: Gandini Juggling’s Drab ‘Spring’ Mixes It Up With Dancers,2019-12-13,article,News,,"['Dancing', 'Juggling and Jugglers']"
Military Investigating Suspected ‘White Power’ Hand Gestures Flashed at Game,2019-12-15,article,News,,"['United States Defense and Military Forces', 'Fringe Groups and Movements', 'Slogans and Mottoes', 'Whites', 'Football (College)']"
Liverpool Still Has a Long Way to Go,2019-12-14,article,News,,['Soccer']
"The Gossiping, Power-Hungry Gambino Crime Family: A Rare Look Inside",2019-12-14,article,News,,"['Organized Crime', 'Murders, Attempted Murders and Homicides', 'Surveillance of Citizens by Government', 'Ex-Convicts', 'Bribery and Kickbacks', 'Wiretapping and Other Eavesdropping Devices and Methods']"
Elizabeth Warren Is Fighting a Two-Flank War,2019-12-13,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses', 'Polls and Public Opinion']"
Theaters in Hungary Feel the Chill of Viktor Orban’s Culture War,2019-12-13,article,News,,"['Theater', 'Politics and Government']"
Somebody’s Watching: Hackers Breach Ring Home Security Cameras,2019-12-15,article,News,,"['Cyberattacks and Hackers', 'Security and Warning Systems', 'Cameras', 'Computer Security', 'Mobile Applications', 'Privacy', 'Discrimination', 'Race and Ethnicity']"
Five Places to Visit in Vancouver with a Local Lifestyle Editor,2019-12-13,article,News,,"['Skiing', 'Travel and Vacations']"
We Have Climate Leaders. Now We Need Followers.,2019-12-13,article,Op-Ed,,"['Greenhouse Gas Emissions', 'Global Warming', 'United Nations Framework Convention on Climate Change']"
There Is a Reason Tech Isn’t Safe,2019-12-13,article,Op-Ed,,"['Sex Crimes', 'Rumors and Misinformation', 'Data-Mining and Database Marketing', 'Social Media']"
Strong Earthquake Hits the Southern Philippines,2019-12-15,article,News,,['Earthquakes']
Impeachment Briefing: House Committee Approves Articles,2019-12-14,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Photography']"
Doing a Double Take,2019-12-14,article,News,,['Crossword Puzzles']
"Yes, It Was Like That All Day",2019-12-13,article,News,,"['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Presidential Election of 2020', 'Impeachment']"
Disney Stars and Dancers,2019-12-13,article,News,,['Parties (Social)']
Review: Death Is a Two-Way Door in ‘The Thin Place’,2019-12-13,article,Review,,['Theater']
"Anna Karina, Star of French New Wave Cinema, Is Dead at 79",2019-12-15,article,Obituary (Obit),,"['Movies', 'Deaths (Obituaries)', 'ACTORS AND ACTRESSES']"
She Accused a Tech Billionaire of Rape. The Chinese Internet Turned Against Her.,2019-12-13,article,News,,"['Sex Crimes', '#MeToo Movement', 'Social Media', 'Cyberharassment', 'News and News Media', 'Suits and Litigation (Civil)']"
M.L.B. Updates Drug Policy to Include Opioid Testing,2019-12-13,article,News,,"['Drug Abuse and Traffic', 'Marijuana', 'Baseball', 'Tests (Drug Use)', 'Opioids and Opiates']"
What Were the Best and Worst Things About 2019 for You?,2019-12-13,article,News,,[]
Boris Johnson Will Change Britain Forever,2019-12-13,article,Op-Ed,,"['Elections', 'Politics and Government']"
Virtual Reality Before There Was Virtual Reality,2019-12-14,article,News,,"['Photography', '3-D Devices and Effects', 'Travel and Vacations', 'Cameras']"
Hallmark and Lifetime Do Hanukkah. Oy.,2019-12-13,article,News,,"['Television', 'Movies', 'Jews and Judaism', 'Christmas', 'Hanukkah']"
Why White Iowans Want a Nominee Who Can Appeal to Nonwhite Voters,2019-12-15,article,News,,"['Whites', 'Race and Ethnicity', 'Presidential Election of 2020', 'Primaries and Caucuses', 'Voting and Voters']"
‘The Straights’ Review: On the Road With No Sense of Direction,2019-12-13,article,Review,,['Theater']
JPMorgan Chase C.E.O. Says It Needs to Do More to Tackle Racism,2019-12-14,article,News,,"['Discrimination', 'Banking and Financial Institutions']"
"Don McDonagh, Dance Critic and Author, Dies at 87",2019-12-13,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Dancing', 'Books and Literature']"
"Liane Terracciano, Daniel Morgese",2019-12-15,article,News,,['Weddings and Engagements']
Battle Over a $9 Million Will Rests on Just One Clause,2019-12-13,article,News,,"['Wills and Estates', 'Philanthropy', 'Marriages', 'Personal Finances', 'Nonprofit Organizations']"
Giants Cut Janoris Jenkins After He Used Slur in Twitter Exchange With a Fan,2019-12-14,article,News,,"['Football', 'Social Media']"
2020 Campaigns Throw Their Hands Up on Disinformation,2019-12-15,article,News,,"['Presidential Election of 2020', 'Rumors and Misinformation', 'News and News Media', 'Social Media']"
Homes That Sold for Around $1.5 Million,2019-12-15,article,News,,['Real Estate and Housing (Residential)']
"Impeachment, Boris Johnson, Nike: Your Friday Evening Briefing",2019-12-13,article,briefing,,[]
"Espionage, North Korea, Xinjiang: Your Monday Briefing",2019-12-15,article,briefing,,[]
"In 2020 Census, Big Efforts in Some States. In Others, Not So Much.",2019-12-15,article,News,,"['Population', 'Census', 'Hispanic-Americans']"
"To Prevent Deadly Infections, F.D.A. Approves the First Disposable ‘Scope’",2019-12-13,article,News,,"['Medical Devices', 'Bacteria', 'Infections', 'Recycling of Waste Materials', 'Defective Products', 'Surgery and Surgeons', 'your-feed-health']"
Weinstein’s Accusers Near a $25 Million Settlement. He Pays the Victims Zero.,2019-12-13,article,News,,"['Sexual Harassment', 'Women and Girls', '#MeToo Movement']"
North Korea Links 2nd ‘Crucial’ Test to Nuclear Weapons Program,2019-12-14,article,News,,"['Nuclear Tests', 'United States International Relations', 'Defense and Military Forces', 'ARMS CONTROL AND LIMITATION AND DISARMAMENT', 'Missiles and Missile Defense Systems', 'Nuclear Weapons', 'Embargoes and Sanctions']"
Panel Approves Impeachment Articles and Sends Charges for a House Vote,2019-12-13,article,News,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']"
Squeaking Across the Line for the Olympic Marathon Trials,2019-12-14,article,News,,"['Running', 'Marathon Running', 'Olympic Games (2020)', 'Women and Girls', 'NCAA Track and Field Championships', 'Track and Field']"
"Chasing for Years, Ernie Els Has Tiger Woods Right Where He Wants Him",2019-12-14,article,News,,"['Golf', 'Presidents Cup (Golf)']"
The Year Women Got ‘Horny’,2019-12-13,article,News,,"['Women and Girls', '#MeToo Movement', 'Sexual Harassment', 'Social Media', 'Sex']"
The Politics of Exhaustion,2019-12-13,article,Op-Ed,,"['United States Politics and Government', 'Politics and Government', 'Voting and Voters', 'Elections', 'Social Conditions and Trends']"
"In Johnson Victory, Democrats and Republicans See Lessons for 2020",2019-12-13,article,News,,"['Presidential Election of 2020', 'Presidential Election of 2016', 'United States Politics and Government', 'Great Britain Withdrawal from EU (Brexit)', 'Elections']"
U.N. Climate Talks End With Few Commitments and a ‘Lost’ Opportunity,2019-12-15,article,News,,"['United Nations Framework Convention on Climate Change', 'Global Warming', 'Greenhouse Gas Emissions']"
Why Twitch Is Still the King of Live Game Streaming,2019-12-15,article,News,,"['Computers and the Internet', 'Video Recordings, Downloads and Streaming', 'Computer and Video Games', 'Mergers, Acquisitions and Divestitures']"
"The Playlist: Kesha Simmers, and 9 More New Songs",2019-12-13,article,News,,"['Pop and Rock Music', 'Rap and Hip-Hop', 'Jazz']"
U.K. Election Result Starts Clock on Brexit Talks With E.U.,2019-12-13,article,News,,"['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government']"
An Arsenal Star Criticized China’s Detention Camps. Fury Soon Followed.,2019-12-14,article,News,,"['Uighurs (Chinese Ethnic Group)', 'Political Prisoners', 'Human Rights and Human Rights Violations', 'Soccer']"
Quotation of the Day: Committee Advances Two Charges Over G.O.P. Protests,2019-12-14,article,News,,[]
I Just Got My Medical Bills. (Gasp!),2019-12-15,article,Letter,,"['Health Insurance and Managed Care', 'Prices (Fares, Fees and Rates)']"
"Danny Aiello, Actor in ‘Do the Right Thing,’ Dies at 86",2019-12-13,article,Obituary (Obit),,"['Deaths (Obituaries)', 'ACTORS AND ACTRESSES', 'Movies']"
"Elisabeth Sifton, Editor and Tamer of Literary Lions, Dies at 80",2019-12-13,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Books and Literature', 'Book Trade and Publishing']"
"Matt Bevin, Ousted in Kentucky, Sets Off Furor With ‘Extreme Pardons’",2019-12-14,article,News,,"['Amnesties, Commutations and Pardons', 'Governors (US)', 'Politics and Government']"
Molière’s Still Funny (Even in German),2019-12-13,article,News,,['Theater']
The World Wants More Danish TV Than Denmark Can Handle,2019-12-14,article,News,,"['Television', 'Movies']"
"Initial China Trade Deal Defuses Tensions, but U.S. Still Has Concerns",2019-12-13,article,News,,"['International Trade and World Market', 'Customs (Tariff)', 'United States International Relations', 'United States Economy', 'Presidential Election of 2020', 'Economic Conditions and Trends']"
Trevor Noah on Trump vs. Greta: Like F.D.R. Bullying Shirley Temple,2019-12-13,article,News,,[]
"Gretchen Carlson: Fox News, I Want My Voice Back",2019-12-13,article,Op-Ed,,"['#MeToo Movement', 'Sexual Harassment', 'Nondisclosure Agreements', 'Workplace Hazards and Violations', 'News and News Media', 'Women and Girls', 'Law and Legislation', 'ARBITRATION, CONCILIATION AND MEDIATION', 'Workplace Environment']"
"Goar Vartanyan, Celebrated Soviet Spy, Dies at 93",2019-12-15,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Espionage and Intelligence Services', 'World War II (1939-45)', 'Assassinations and Attempted Assassinations']"
"Wisconsin Judge Says State Must Purge 200,000 Voter Registrations",2019-12-14,article,News,,"['Voting and Voters', 'Voter Registration and Requirements', 'Presidential Election of 2020', 'Decisions and Verdicts', 'United States Politics and Government']"
How to Argue on the Internet Without Losing Your Mind,2019-12-13,article,News,,"['Computers and the Internet', 'Empathy']"
"Boris Johnson, Scotland, Facebook: Your Friday Briefing",2019-12-13,article,briefing,,[]
How 2 Drifters Brought Anti-Semitic Terror to Jersey City,2019-12-15,article,News,,"['Jersey City, NJ, Shooting (December 10, 2019)', 'Terrorism', 'Jews and Judaism', 'Hasidism', 'Murders, Attempted Murders and Homicides', 'ANTI-SEMITISM']"
Supreme Court to Rule on Release of Trump’s Financial Records,2019-12-13,article,News,,"['Trump Tax Returns', 'Subpoenas', 'Federal Taxes (US)', 'United States Politics and Government']"
"Staring Down Impeachment Vote, Freshman Democrat Seeks Legislative Victories",2019-12-14,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment']"
Elizabeth Warren’s Turning Point,2019-12-13,article,News,,"['Podcasts', 'Newsletters']"
"Democrats Agree on One Thing: They’re Very, Very Nervous",2019-12-13,article,News,,"['Presidential Election of 2020', 'United States Politics and Government']"
"Lindsay Vogelman, Benjamin Bell",2019-12-15,article,News,,['Weddings and Engagements']
"Quotation of the Day: As Impeachment and 2020 Loom, Democrats Unite in Worry",2019-12-15,article,News,,[]
How the Superrich Took Over the Museum World,2019-12-14,article,Op-Ed,,"['Art', 'Philanthropy', 'Museums', 'High Net Worth Individuals']"
"Steve Burke, the Head of NBCUniversal, Plans to Step Down Next Year",2019-12-13,article,News,,"['Appointments and Executive Changes', 'Television', 'Media', 'Executive Compensation']"
‘Mayors for Mike’: How Bloomberg’s Money Built a 2020 Political Network,2019-12-14,article,News,,"['Presidential Election of 2020', 'Mayors', 'Endorsements', 'Philanthropy']"
"Corrections: Dec. 13, 2019",2019-12-13,article,Correction,,[]
The United Kingdom Has Voted. Will It Remain United?,2019-12-13,article,Editorial,,"['Politics and Government', 'Elections', 'Great Britain Withdrawal from EU (Brexit)', 'Legislatures and Parliaments']"
Our 25 Most Popular Christmas Cookies,2019-12-14,article,News,,[]
An Age Difference Fades With Time,2019-12-14,article,News,,['Weddings and Engagements']
Italy’s New ‘Sardines’ Movement Packs Piazzas to Protest Far-Right Leader,2019-12-14,article,News,,"['Politics and Government', 'Demonstrations, Protests and Riots', 'Fringe Groups and Movements']"
Brexit Is Going to Get Done. But on Whose Terms?,2019-12-13,article,News Analysis,,"['Politics and Government', 'Elections', 'Great Britain Withdrawal from EU (Brexit)']"
"Review: Five Pieces From ‘Nine,’ and Plenty More From Its Composer",2019-12-13,article,Review,,['Theater']
"For African Migrants, Hope and a Home in a Vacant French School",2019-12-14,article,News,,"['Middle East and Africa Migrant Crisis', 'Politics and Government', 'Immigration and Emigration', 'Asylum, Right of', 'Squatters']"
"Trump Officials Praise Gains From China Deal, but They Come at a Cost",2019-12-15,article,News,,"['United States International Relations', 'International Trade and World Market', 'Economic Conditions and Trends', 'United States Economy', 'United States Politics and Government', 'Customs (Tariff)']"
Frail Older Patients Struggle After Even Minor Operations,2019-12-13,article,News,,"['Surgery and Surgeons', 'Elderly', 'Deaths (Fatalities)', 'your-feed-healthcare']"
I Still Kind of Love the New York Subway,2019-12-14,article,Op-Ed,,"['Subways', 'Transit Systems', 'Prices (Fares, Fees and Rates)']"
361 Days of Christmas,2019-12-13,article,News,,"['Christmas', 'Santa Claus', 'your-feed-selfcare']"
Republicans Are Now ‘the Beer and Bluejeans Party’ Because of Trump. So Says the Trump Campaign.,2019-12-13,article,News,,"['Presidential Election of 2020', 'United States Politics and Government']"
Pay Attention to How Trump Talks About Investigations,2019-12-13,article,Op-Ed,,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Inspectors General']"
"Trump’s Bad. Sadly, He’s Not Alone.",2019-12-14,article,Op-Ed,,"['Impeachment', 'Boeing 737 Max Groundings and Safety Concerns (2019)', 'Movies', 'Afghanistan War (2001- )', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']"
The D.N.C. Chairman Knows No One Is Happy. Neither Is He.,2019-12-15,article,News,,"['Presidential Election of 2020', 'Debates (Political)', 'Primaries and Caucuses']"
Congrats on the Heisman Trophy. Now Sign Here and Promise to Not Sell It.,2019-12-14,article,News,,"['Heisman Trophy', 'Football (College)', 'Auctions', 'Memorabilia and Souvenirs']"
"For Scotland and Northern Ireland, a Weakening of Ties",2019-12-13,article,News,,"['Secession and Independence Movements', 'Great Britain Withdrawal from EU (Brexit)']"
Review: A Radiant Revival of ‘Der Rosenkavalier’,2019-12-15,article,Review,,"['Opera', 'Classical Music']"
It Wasn’t Me He Wanted,2019-12-13,article,News,,"['Love (Emotion)', 'Homosexuality and Bisexuality']"
Awe-Inspiring Libraries,2019-12-13,article,News,,['Books and Literature']
At Least 23 Soldiers Killed in Insider Attack in Afghanistan,2019-12-14,article,News,,"['Afghanistan War (2001- )', 'Terrorism', 'Defense and Military Forces']"
An Interiors Photographer Shares His Favorite Images of the Decade,2019-12-13,article,News,,"['Photography', 'Interior Design and Furnishings', 'Two Thousand Tens (Decade)']"
"Gen Z, Tell Us About Your Political Views",2019-12-13,article,News,,"['Millennial Generation', 'Generation Z', 'Voting and Voters', 'United States Politics and Government', 'Presidential Election of 2020']"
The Impeachment Process Is Barely Functioning,2019-12-15,article,Op-Ed,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Presidential Election of 2020', 'Watergate Affair']"
‘A Cesspool of a Dungeon’: The Surging Population in Rural Jails,2019-12-13,article,News,,"['Prisons and Prisoners', 'Rural Areas', 'Criminal Justice', 'Drug Abuse and Traffic', 'Opioids and Opiates', 'Methamphetamines', 'Crime and Criminals', 'Bail']"
New in Paperback: ‘Invisible’ and ‘Little Faith.’,2019-12-13,article,List,,['Books and Literature']
‘Black Christmas’ Review: Horror for a New Era of Campus Debates,2019-12-13,article,Review,,['Movies']
Be a Better Houseguest With These 6 Items,2019-12-14,article,News,,"['Travel and Vacations', 'Gifts']"
"Weekly Health Quiz: Side Effects, Sleep and an Unusual Organ Transplant",2019-12-13,multimedia,Interactive Feature,,"['Fruit', 'Knees', 'Transplants', 'AMYOTROPHIC LATERAL SCLEROSIS', 'Medicine and Health', 'Sleep', 'Stroke', 'Running', 'Drugs (Pharmaceuticals)']"
U.K. Election Results Map: How Conservatives Won in a Landslide,2019-12-13,multimedia,Interactive Feature,,"['Great Britain Withdrawal from EU (Brexit)', 'Elections']"
Nike’s Fastest Shoes May Give Runners an Even Bigger Advantage Than We Thought,2019-12-13,multimedia,Interactive Feature,,"['Running', 'Sneakers', 'Marathon Running', 'Statistics', 'Innovation']"
2019: The Year in Climate Change,2019-12-13,multimedia,Interactive Feature,,"['Food', 'Global Warming', 'Energy and Power', 'Transportation', 'Greenhouse Gas Emissions', 'Wildfires']"
"News Quiz: Impeachment, U.K. Election, Art Basel Miami Beach",2019-12-13,multimedia,Interactive Feature,,[]
"The ‘Saturday Night Live’ Stars Who Lasted, and the Ones Who Flamed Out",2019-12-14,multimedia,Interactive Feature,,"['Television', 'Comedy and Humor']"
Women Have Always Had Abortions,2019-12-13,multimedia,Interactive Feature,,"['ABORTION', 'Birth Control and Family Planning', 'Law and Legislation', ""Women's Rights""]"
Impeach Donald Trump,2019-12-14,multimedia,Interactive Feature,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Presidential Election of 2020', 'Presidents and Presidency (US)', 'Constitution (US)', 'United States Politics and Government']"
Simon Watson’s Photographs of Italian Gardens and Moroccan Fortresses,2019-12-13,multimedia,Slideshow,,"['Interior Design and Furnishings', 'Photography', 'Two Thousand Tens (Decade)']"
Sofia Carson and Priyanka Chopra Jonas at Unicef Gala,2019-12-13,multimedia,Slideshow,,[]
A Townhouse in Greenwich Village Lists for $50 Million,2019-12-13,multimedia,Slideshow,,[]
‘Bombshell’ | Anatomy of a Scene,2019-12-13,multimedia,Video,,['Movies']
Highlights From House Committee Debate on Articles of Impeachment,2019-12-13,multimedia,Video,,"['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment']"
What Do Homemade Guns Mean for Gun Laws? We Made One to Find Out,2019-12-15,multimedia,Video,,"['Gun Control', 'Firearms', 'State Legislatures', 'Politics and Government', 'Regulation and Deregulation of Industry', 'Privacy', 'Polymers', 'Second Amendment (US Constitution)']"
A.I. Is Making It Easier to Kill (You). Here’s How.,2019-12-13,multimedia,Video,,"['Gun Control', 'Biological and Chemical Warfare', 'Computer Vision', 'Facial Recognition Software', 'Civilian Casualties', 'Robots and Robotics', 'Defense and Military Forces', 'Politics and Government', 'Driverless and Semiautonomous Vehicles', 'Computers and the Internet', 'Artificial Intelligence', 'United States International Relations', 'Nuclear Weapons', 'Radar', 'Afghanistan War (2001- )', 'Mines, Explosive', 'Laboratories and Scientific Equipment', 'Regulation and Deregulation of Industry', 'Treaties']"
Trump Says of Impeachment: ‘I Wouldn’t Mind a Long Process’,2019-12-13,multimedia,Video,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment', 'United States Politics and Government']"
"Gershon Kingsley, Master of Electronic Sounds, Dies at 97",2019-12-15,article,Obituary (Obit),,"['Music', 'Deaths (Obituaries)', 'Musical Instruments', 'Holocaust and the Nazi Era']"
"Andrew Clements, 70, Dies; Wrote Best-Selling Children’s Books",2019-12-15,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Writing and Writers', 'Children and Childhood']"
"Another Dancer Gets to Dream, Baby, Dream in ‘Oklahoma!’",2019-12-17,article,News,,"['Dancing', 'Theater']"
’Twas the Eve of Impeachment,2019-12-17,article,Op-Ed,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']"
An Alternative to Migrant Family Detention,2019-12-17,article,Letter,,"['Immigration Detention', 'Asylum, Right of', 'Secession and Independence Movements', 'Friendship']"
Feral Pigs Roam the South. Now Even Northern States Aren’t Safe.,2019-12-16,article,News,,"['Pigs', 'Invasive Species', 'Livestock Diseases', 'Hunting and Trapping', 'Livestock', 'your-feed-science']"
400 Rounds of Ammunition Found at Pawnshop Connected to N.J. Killings,2019-12-15,article,News,,"['Jersey City, NJ, Shooting (December 10, 2019)']"
Congressional Negotiators Agree to Extend Some Tax Credits and Add to Debt,2019-12-17,article,News,,"['Tax Credits, Deductions and Exemptions', 'Federal Taxes (US)', 'Federal Budget (US)', 'Enterprise Zones', 'Tax Cuts and Jobs Act (2017)', 'Alternative and Renewable Energy', 'United States Politics and Government']"
Harvey Weinstein: ‘My Work Has Been Forgotten.’ Accusers Are Livid.,2019-12-16,article,News,,"['ACTORS AND ACTRESSES', 'Sex Crimes', 'Movies', 'Women and Girls']"
Remembering Fashion’s Greatest Love Story at Isabel Toledo’s Memorial,2019-12-17,article,News,,"['Fashion and Apparel', 'your-feed-fashion']"
How to Fix Our Prisons? Let the Public Inside,2019-12-17,article,Op-Ed,,"['Prisons and Prisoners', 'Ex-Convicts', 'Criminal Justice', 'Volunteers and Community Service']"
Hundreds of Historians Speak Out on Impeachment,2019-12-17,article,News,,['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']
What Will It Take to Clean Up the Electric Grid?,2019-12-16,article,Op-Ed,,"['Solar Energy', 'Wind Power', 'Alternative and Renewable Energy', 'Electric Light and Power', 'Global Warming', 'Energy and Power']"
What’s on TV Monday: ‘Hellboy’ and ‘Burlesque’,2019-12-16,article,News,,"['Television', 'Movies']"
The Cost of Opioid Addiction,2019-12-15,article,Letter,,"['Jewels and Jewelry', 'Opioids and Opiates', 'United States Politics and Government', 'Presidential Election of 2020', 'Christmas']"
"After Her Heart Stops Beating, a Woman Continues to Think",2019-12-16,article,Review,,['Books and Literature']
Why People Are Protesting in India,2019-12-17,article,News,,"['Demonstrations, Protests and Riots', 'Religion and Belief', 'Muslims and Islam']"
Laughing Through the Trump Era,2019-12-17,article,Op-Ed,,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Comedy and Humor', 'Inspectors General']"
How Families Cope with the Hidden Costs of Incarceration for the Holidays,2019-12-17,article,News,,"['Prisons and Prisoners', 'Prices (Fares, Fees and Rates)', 'Holidays and Special Occasions', 'Families and Family Life', 'Criminal Justice']"
"Mitch McConnell, India, N.F.L.: Your Monday Briefing",2019-12-16,article,briefing,,[]
Judge Rejects Michael Flynn’s Claims in His Attacks on Prosecutors,2019-12-17,article,News,,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Ethics and Official Misconduct', 'Decisions and Verdicts', 'United States Politics and Government']"
Army Unit Says It Regrets Using Photo of Nazi War Criminal to Honor Battle of the Bulge,2019-12-17,article,News,,"['Holocaust and the Nazi Era', 'War Crimes, Genocide and Crimes Against Humanity', 'Social Media', 'World War II (1939-45)', 'United States Defense and Military Forces']"
Did Schiff Poke a Hole in the First Amendment?,2019-12-16,article,Op-Ed,,"['News Sources, Confidential Status of', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'News and News Media', 'Rumors and Misinformation', 'Surveillance of Citizens by Government', 'Freedom of the Press']"
Congress Prepares to Hit Assad With New Sanctions for War Crimes,2019-12-17,article,News,,"['Embargoes and Sanctions', 'United States International Relations', 'United States Politics and Government', 'Law and Legislation', 'Human Rights and Human Rights Violations', 'War Crimes, Genocide and Crimes Against Humanity']"
"Senate Approves $738 Billion Defense Bill, Sending It to Trump",2019-12-17,article,News,,['United States Defense and Military Forces']
"Schumer, Pushing McConnell to Negotiate, Lays Out Plan for Impeachment Trial",2019-12-15,article,News,,"['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment']"
New Kind of Student Loan Gains Major Support. Is There a Downside?,2019-12-16,article,News,,"['Student Loans', 'Colleges and Universities', 'Law and Legislation']"
The N.F.L.’s Favorite Helmet Maker Is in Financial Trouble,2019-12-17,article,News,,"['Football', 'Helmets']"
Jarring Billboards’ Goal: To Prevent Pedestrian Deaths,2019-12-17,article,briefing,,"['Traffic Accidents and Safety', 'Deaths (Fatalities)', 'Outdoor Advertising']"
N.Y. Lawmakers Passed 935 Bills by June. Many Remain Unsigned.,2019-12-16,article,News,,"['Law and Legislation', 'Politics and Government', 'State Legislatures', 'Vetoes (US)', 'Lobbying and Lobbyists']"
"The Tax Break for Children, Except the Ones Who Need It Most",2019-12-16,article,News,,"['Children and Childhood', 'Poverty', 'Federal Taxes (US)', 'United States Politics and Government', 'Tax Cuts and Jobs Act (2017)', 'Tax Credits, Deductions and Exemptions']"
Black Women Now Hold Crowns in 5 Major Beauty Pageants,2019-12-15,article,News,,"['Blacks', 'Black People', 'Women and Girls', 'Race and Ethnicity', 'Beauty Contests']"
The Best Biscuits? There Are a Few Tricks,2019-12-16,article,News,,"['Cooking and Cookbooks', 'Butter']"
"Exposed as Stasi Spy, a Newspaper Owner Tries to Reclaim His Story",2019-12-15,article,News,,"['Informers', 'Espionage and Intelligence Services', 'Newspapers', 'Archives and Records']"
Up and Away: ‘The Aeronauts’ and Hot-Air Balloons in the Movies,2019-12-17,article,News,,"['Movies', 'Balloons (Aeronautics)']"
Wander About,2019-12-15,article,News,,['Crossword Puzzles']
"Brian Tarantina, ‘Marvelous Mrs. Maisel’ Actor, Died of Overdose, Medical Examiner Says",2019-12-17,article,News,,"['ACTORS AND ACTRESSES', 'Television', 'Drug Abuse and Traffic']"
"Bronx Girl Seen Kidnapped in Video Admits It Was a Hoax, Official Says",2019-12-17,article,News,,"['Kidnapping and Hostages', 'Hoaxes and Pranks', 'Video Recordings, Downloads and Streaming']"
